word_english,word_hebrew,description_en
earthquake,רעידת אדמה,"a sudden and violent shaking of the ground, sometimes causing great destruction, as a result of movements within the earth's crust or volcanic action."
elderly,זקנה,(of a person) old or aging.
enter,להיכנס,come or go into (a place).
episode,פרק,a finite period in which someone is affected by a specified illness.
equal,שווה,"being the same in quantity, size, degree, or value."
escape,לברוח,break free from confinement or control.
fare,תעריף,the money a passenger on public transportation has to pay.
fire,אש,"the burning of inflammable materials producing heat, light, and often smoke."
firm,חברה,"a business concern, especially one involving a partnership of two or more people."
float,לצוף,rest or move on or near the surface of a liquid without sinking.
fold,לקפל,bend (something flexible and relatively flat) over on itself so that one part of it covers another.
follow,לעקוב אחר,go or come after (a person or thing proceeding ahead); move or travel behind.
for the sake of something/sb; for something's/sb's sake,בשביל משהו / למען מישהו וכו',for the benefit or advantage of something or someone; out of consideration for something or someone.
formal,פורמלי,done in accordance with convention or etiquette; suitable for or constituting an official or important situation or occasion.
former,לשעבר,having previously filled a particular role or been a particular thing.
fortune,מזל,"chance or luck as an external, arbitrary force affecting human affairs."
free,חופשי,not under the control or in the power of another; able to act or be done as one wishes.
free will,רצון חופשי,the power of acting without the constraint of necessity or fate; the ability to act at one's own discretion.
frozen,קפוא,turned into ice; affected by freezing or by long and severe cold.
generous,נדיב,"showing a readiness to give more of something, especially money, than is strictly necessary or expected."
get,לקבל,come to have or hold (something); receive.
get in touch,ליצור קשר,make contact with.
give in/up,לוותר,cease fighting or arguing; admit defeat.
give up something or give something up,לוותר על משהו,cease or resign oneself to (a situation).
go ahead,להתקדם,proceed (often used as an imperative).
grab,לאחוז ב/לחטוף,grasp or seize suddenly and roughly.
grateful,אסיר תודה,feeling or showing an appreciation for kindness or benefits received.
hardware,חומרה,physical components of a computer or other electronic system.
headquarters,מטה,the location where the main offices of an organization or business are situated.
"here you are/here it is, etc.","הנה אתה / הנה זה, וכו'",used when giving something to someone or showing them something.
hold up / hold up sb/something or hold sb/something up,לעצור / לעכב מישהו / משהו,delay or hinder someone or something temporarily.
honesty,כנות,"the quality of being truthful, fair, and trustworthy."
idiom,ניב,a group of words established by usage as having a meaning not deducible from those of the individual words.
in turn,בתורו,as a result of an action done after or because of another action.
incident,תקרית,"an event or occurrence, typically one that is noteworthy or significant."
laugh,לצחוק,make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of derision.
layer,שכבה,"a sheet, quantity, or thickness of material, typically one of several, covering a surface or body."
leave behind sb/something or leave sb/something behind,להשאיר מאחור,go away from or abandon.
let out sb/something or let sb/something out,להוציא,allow someone or something to leave or escape from a place.
"let sb/something in / past / through, etc",לאפשר ל,allow someone or something to enter or pass through a space.
light,אור,the natural agent that stimulates sight and makes things visible.
lightly,בעדינות,without using force; delicately or gently.
liquid,נוזל,"having a consistency like that of water or oil, i.e., flowing freely but of constant volume."
lively,חיוני,full of life and energy; active and outgoing.
load,העמסה,a heavy or bulky thing that is being carried or is about to be carried.
loan,הלוואה,"a thing that is borrowed, especially a sum of money that is expected to be paid back with interest."
log in/on,להתחבר,enter one's username and password to begin using a computer or other system.
log off/out,להתנתק,exit from a computer system or online service after having accessed it.
lonely,בודד,sad because one has no friends or company.
look,מראה,the appearance or expression of someone's face.
"lose interest / patience, etc",לאבד עניין או סבלנות- become unable to find or trace someone or something.,
maker,יוצר,a person or thing that makes or produces something.
mark,סימן,"a small area on a surface having a different color from its surroundings, typically one caused by accident or damage."
marvelous,מדהים,causing great wonder; extraordinary.
mayor,ראש עיר,"the elected head of a city, town, or other municipality."
melt,להמיס,make or become liquefied by heat.
membership,חברות במועדון/אגודה וכו',the fact of being a member of a group.
message,הודעה,"a verbal, written, or recorded communication sent to or left for a recipient who cannot be contacted directly."
might as well,כדאי לעשות,used to indicate that something is true to the extent or degree stated.
miss,להתגעגע,notice the loss or absence of.
modest,צנוע,unassuming or moderate in the estimation of one's abilities or achievements.
mood,מצב רוח,a temporary state of mind or feeling.
name,שם,"a word or set of words by which a person, animal, place, or thing is known, addressed, or referred to."
off,כבוי,away from the place in question; to or at a distance.
offense,עבירה,an illegal act; a breach of a law or rule.
(every) once in a while,מדי פעם לפעם,occasionally; from time to time.
or so,בערך/לערך,approximately; about.
organic,אורגני,relating to or derived from living matter.
pace,קצב,the speed at which something happens or develops.
partner,שותף,"a person who takes part in an undertaking with another or others, especially in a business or company with shared risks and profits."
pause,עצירה רגעית של פעולה- a temporary stop in action or speech.,
peaceful,שקט,free from disturbance; tranquil.
plot,עלילה,"the main events of a play, novel, movie, or similar work, devised and presented by the writer as an interrelated sequence."
position,מיקום,a place where someone or something is located or has been put.
pour,ליצוק,flow rapidly in a steady stream.
powder,אבקה,"fine, dry particles produced by the grinding, crushing, or disintegration of a solid substance."
preposition,יחס,"a word governing, and usually preceding, a noun or pronoun and expressing a relation to another word or element in the clause."
pride,גאווה,"a feeling of deep pleasure or satisfaction derived from one's own achievements, the achievements of those with whom one is closely associated, or from qualities or possessions that are widely admired."
punish,להעניש,impose a penalty on someone for (an offense).
quarrel,ריב,"an angry argument or disagreement, typically between people who are usually on good terms."
quit,לפרוש,"leave (a place), usually permanently."
race,מירוץ,"a competition between runners, horses, vehicles, boats, etc., to see which is the fastest in covering a set course."
raw,גולמי,(of food) in its natural state; not cooked or processed.
reassure,להרגיע,say or do something to remove the doubts or fears of someone.
"remain calm/open, etc",להישאר רגוע / פתוח וכו',"stay calm, open, etc."
reserve,לשמור,refrain from delivering or revealing something.
server,שרת,a computer or computer program that manages access to a centralized resource or service in a network.
shame,בושה,a painful feeling of humiliation or distress caused by the consciousness of wrong or foolish behavior.
shaming,ביוש,the action or practice of publicly humiliating someone or something by making mocking or critical comments about them.
shelter,מקלט,a place giving temporary protection from bad weather or danger.
show up,להופיע,"arrive, especially unexpectedly or late."
side,צד,"a position to the left or right of an object, place, or central point."
sign,לחתום,write (one's name) on a document to make it official.
signal,איתות,"a gesture, action, or sound that is used to convey information or instructions, typically by prearrangement between the parties concerned."
sink,לטבוע,"descend slowly, as though collapsing or falling."
slip,להחליק,"slide unintentionally for a short distance, usually by losing balance."
smart,חכם,having or showing a quick-witted intelligence.
smooth,חלק,"(of a surface or object) having an even and regular surface or consistency; free from perceptible projections, lumps, or indentations."
"so did we/so have I/so is mine, etc.",אף אנחנו עשינו / כך היה לי / כך הוא שלי וכו',used to say that you also have done something similar or experienced something similar.
some kind of,מסוג מסוים,"a certain type of something, without specifying exactly what."
"somewhere around / between, etc.",באיזור של / בין וכו',approximately or roughly at or between a particular point or area.
"sound angry / happy / rude, etc.",להישמע כ,give the impression of being in a particular state or having a particular quality.
speak about/of something,לדבר על,talk about a particular topic or subject.
special offer,הצעה מיוחדת,a promotional deal or discount available for a limited time.
speed,מהירות,the rate at which someone or something is able to move or operate.
spill,לשפוך,"cause or allow (liquid) to flow over the edge of its container, especially unintentionally."
spirit,רוח,the nonphysical part of a person that is the seat of emotions and character; the soul.
spread,להתפשט,"open out (something) so as to extend its surface area, width, or length."
stay,להישאר,remain in the same place or condition.
strengthen,לחזק,make or become stronger.
strike,להכות,hit forcibly and deliberately with one's hand or a weapon or other implement.
strong,חזק,possessing skills and qualities that create a likelihood of success.
"struggle -, להתאבק",make forceful or violent efforts to get free of restraint or constriction. / מאבק,"a long effort to do, achieve, or deal with something that is difficult or that causes problems"
subway,מטרו,an underground electric railroad.
suffer from something,לסבול מ,experience or be subjected to (something bad or unpleasant).
super,מאוד,very; extremely.
swear,להשבע,make a solemn statement or promise undertaking to do something or affirming that something is the case.
suspect,לחשוד,"have an idea or impression of the existence, presence, or truth of (something) without certain proof."
switch,מתג,a device for making and breaking the connection in an electric circuit.
symbol,סמל,"a mark or character used as a conventional representation of an object, function, or process."
table,שולחן,"a piece of furniture with a flat top and one or more legs, providing a level surface for eating, writing, or working."
"take pleasure/pride/an interest, etc.",לקחת הנאה / גאוה / עניין וכו',"feel satisfaction, pride, or enjoyment in."
take sb's place,לקחת את מקוםו של מישהו,occupy someone's position or role in their absence.
tear,דמעה,"a drop of clear salty liquid secreted by glands in a person's eye when they cry or when the eye is irritated. // לקרוע - to separate (something) into parts by pulling it, cutting it, etc. : to rip, split, or open (something) quickly or violently"
term,מונח,"a word or phrase used to describe a thing or to express a concept, especially in a particular kind of language or branch of study."
terminal,תחנה,"a building or building complex containing transport facilities, such as railway stations, airports, bus stations, etc."
that kind/sort of thing,סוג כזה של דבר,used to refer vaguely to something of a particular type or description.
that's it,זהו,used to indicate that something is finished or concluded.
"the following day / morning, etc.",היום / הבוקר וכו' הבא,on the day or morning after the one now being mentioned.
thief,גנב,"a person who steals another person's property, especially by stealth and without using force or violence."
tight,", הדוק, צמוד","fixed, fastened, or closed firmly; hard to move, undo, or open."
tip,עצה,"a piece of advice or useful information, especially about how to do something or about the likely course of events."
tired of doing something,עייף מלעשות משהו,no longer willing to tolerate or endure (something).
tiring,"מעייף, מייגע",causing one to feel tired or weary.
touch,מגע,an act of touching someone or something.
tough,קשה,very difficult to do or deal with
trade,מסחר,the action of buying and selling goods and services.
transfer,להעביר,move (someone or something) from one place to another.
tribe,שבט,"a group of people that includes many families and relatives who have the same language, customs, and beliefs"
trick,קסם,n action that is meant to deceive someone
turn (sb/something) into sb/something,להפוך משהו / מישהו למשהו,change or transform someone or something into someone or something else.
underline,להדגיש,draw a line under (a word or phrase) to give emphasis or indicate special type.
union,איחוד,"the action or fact of joining or being joined, especially in a political context."
use,להשתמש ב,"take, hold, or deploy (something) as a means of accomplishing or achieving something; employ. // שימוש - the act of using something"
via,באמצעות,traveling through (a place) en route to a destination.
victim,קורבן,"a person harmed, injured, or killed as a result of a crime, accident, or other event or action."
warm,לחמם,to become warm or to make (someone or something) warm
weakness,חולשה,the state or condition of lacking strength.
wear (something) out or wear out (something),להתיש,to annoy or bother (someone)
weather forecast,תחזית מזג אוויר,a statement of what the weather is likely to be for a particular period.
weigh,לשקול,"find out how heavy (someone or something) is, typically using scales."
weird,מוזר,suggesting something supernatural; uncanny.
whatever,כל מה ש,"used to emphasize a lack of restriction in referring to any thing or amount, no matter what."
Who cares?,למי  אכפת?,expressing indifference or dismissal of a matter.
wise,חכם,"having or showing experience, knowledge, and good judgment."
wrap,לעטוף,to cover (something) by winding or folding a piece of material around it
Yours sincerely,בברכה,a formula used to end a formal letter when the recipient's name is known.
will,רצון,a person's choice or desire in a particular situation
